Relatório de Clientes por Grupo

Total de Grupos: 13
Total de Clientes: 9485
Total de Cidades: 128

Cod.Cliente;Cliente;Cod.IBGE
Grupo:;Carreteiros;16 clientes
Cliente 13402;CAR1092;4105508
Cliente 24294;CAR1947;3506508
Cliente 24953;CAR2253;3531407
Cliente 91144;CAR4396;4113700
Cliente 91386;CAR4470;4113700
Cliente 91449;CAR4489;4113700
Cliente 245782;CAR5557;3542404
Cliente 286255;CAR6942;3555000
Cliente 288296;CAR7538;4119905
Cliente 288625;CAR7603;3541406
Cliente 290198;CAR7873;3517802
Cliente 290420;CAR7941;3530300
Cliente 290546;CAR7981;4113700
Cliente 291716;CAR8295;3550308
Cliente 295428;CAR9108;3541406
Cliente 296022;CAR9233;3544608

Grupo:;Materia Prima;22 clientes
Cliente 23781;MAT1746;3501608
Cliente 24290;MAT1945;3506508
Cliente 26220;MAT2515;3550308
Cliente 36016;MAT3099;4115200
Cliente 46951;MAT3482;4123907
Cliente 91163;MAT4403;4113700
Cliente 91360;MAT4463;4113700
Cliente 127113;MAT4641;3517802
Cliente 249950;MAT5699;3541406
Cliente 279649;MAT6043;3541406
Cliente 280242;MAT6064;3509502
Cliente 283675;MAT6321;3541406
Cliente 287066;MAT7302;3517802
Cliente 289536;MAT7731;4125506
Cliente 290733;MAT8022;3509502
Cliente 291205;MAT8144;4104808
Cliente 292977;MAT8574;3516705
Cliente 295759;MAT9162;3524808
Cliente 295770;MAT9167;3515509
Cliente 296066;MAT9244;3544608
Cliente 296136;MAT9263;3541406
Cliente 296526;MAT9381;4113700

Grupo:;Produtores;24 clientes
Cliente 38319;PRO3306;4119905
Cliente 91389;PRO4471;4113700
Cliente 126984;PRO4633;3517802
Cliente 126990;PRO4634;3532603
Cliente 127020;PRO4635;3530300
Cliente 127021;PRO4636;3530300
Cliente 127043;PRO4638;3530300
Cliente 127053;PRO4639;3530300
Cliente 127073;PRO4640;3530300
Cliente 127115;PRO4642;3532603
Cliente 127119;PRO4643;3532603
Cliente 127120;PRO4644;3517802
Cliente 127125;PRO4645;3517802
Cliente 127126;PRO4646;3517802
Cliente 281363;PRO6122;3541406
Cliente 286150;PRO6920;3552205
Cliente 287188;PRO7340;3526902
Cliente 287240;PRO7365;3532603
Cliente 290614;PRO8004;4113700
Cliente 291328;PRO8198;3517802
Cliente 292731;PRO8500;3529005
Cliente 293636;PRO8739;4119905
Cliente 295073;PRO9019;4114807
Cliente 295979;PRO9225;3520509

Grupo:;Fornecedores;24 clientes
Cliente 11528;FOR0919;4109708
Cliente 23446;FOR1584;3528106
Cliente 91152;FOR4398;4113700
Cliente 91278;FOR4444;4113700
Cliente 91292;FOR4451;4113700
Cliente 238116;FOR5268;5004403
Cliente 247725;FOR5633;4113700
Cliente 250486;FOR5735;4113700
Cliente 251414;FOR5791;3550308
Cliente 251928;FOR5817;4104808
Cliente 254950;FOR5857;3532603
Cliente 260749;FOR5929;4113700
Cliente 284173;FOR6361;4105508
Cliente 285792;FOR6854;3502804
Cliente 286243;FOR6940;4115200
Cliente 288500;FOR7579;3541406
Cliente 290027;FOR7824;3513009
Cliente 290691;FOR8014;5008305
Cliente 291206;FOR8145;3501608
Cliente 291411;FOR8214;4106902
Cliente 292814;FOR8522;3550308
Cliente 293322;FOR8659;3541406
Cliente 294461;FOR8954;3550308
Cliente 296646;FOR9419;3544608

Grupo:;Distribuidores;32 clientes
Cliente 107;DIS0001;4118204
